Date,Type,Ticker,Shares,Price,Amount
2020-02-05,BUY,006400.KS,4,310559.34375,1242237.375
2020-02-05,BUY,051910.KS,3,360305.5,1080916.5
2020-02-05,BUY,096770.KS,11,124655.8046875,1371213.8515625
2020-02-05,BUY,003550.KS,21,65204.16796875,1369287.52734375
2020-02-05,BUY,086790.KS,60,23639.599609375,1418375.9765625
2020-02-05,BUY,035420.KS,8,178236.4375,1425891.5
2020-02-05,BUY,005930.KS,27,51417.55078125,1388273.87109375
2020-03-05,SELL,006400.KS,4,319955.25,1279821.0
2020-03-05,SELL,051910.KS,3,382942.5,1148827.5
2020-03-05,SELL,096770.KS,11,105120.1875,1156322.0625
2020-03-05,SELL,003550.KS,21,63488.26953125,1333253.66015625
2020-03-05,SELL,086790.KS,60,20813.876953125,1248832.6171875
2020-03-05,SELL,035420.KS,8,177745.453125,1421963.625
2020-03-05,SELL,005930.KS,27,49948.484375,1348609.078125
2020-03-05,BUY,068270.KS,9,152145.921875,1369313.296875
2020-03-05,BUY,030200.KS,77,17803.125,1370840.625
2020-03-05,BUY,017670.KS,38,35413.45703125,1345711.3671875
2020-03-05,BUY,051910.KS,3,382942.5,1148827.5
2020-03-05,BUY,035720.KS,38,35736.8046875,1357998.578125
2020-03-05,BUY,005490.KS,8,158908.578125,1271268.625
2020-03-05,BUY,005930.KS,27,49948.484375,1348609.078125
2020-04-03,SELL,068270.KS,9,163849.46875,1474645.21875
2020-04-03,SELL,030200.KS,77,14579.515625,1122622.703125
2020-04-03,SELL,017670.KS,38,29258.072265625,1111806.74609375
2020-04-03,SELL,051910.KS,3,274001.96875,822005.90625
2020-04-03,SELL,035720.KS,38,31356.8046875,1191558.578125
2020-04-03,SELL,005490.KS,8,127815.5390625,1022524.3125
2020-04-03,SELL,005930.KS,27,40915.42578125,1104716.49609375
2020-04-03,BUY,068270.KS,7,163849.46875,1146946.28125
2020-04-03,BUY,096770.KS,14,83444.9609375,1168229.453125
2020-04-03,BUY,035420.KS,7,168907.296875,1182351.078125
2020-04-03,BUY,030200.KS,81,14579.515625,1180940.765625
2020-04-03,BUY,207940.KS,1,711248.125,711248.125
2020-04-03,BUY,017670.KS,40,29258.072265625,1170322.890625
2020-04-03,BUY,105560.KS,49,23744.92578125,1163501.36328125
2020-05-08,SELL,068270.KS,7,175970.984375,1231796.890625
2020-05-08,SELL,096770.KS,14,91724.34375,1284140.8125
2020-05-08,SELL,035420.KS,7,210152.09375,1471064.65625
2020-05-08,SELL,030200.KS,81,17400.173828125,1409414.080078125
2020-05-08,SELL,207940.KS,1,894575.1875,894575.1875
2020-05-08,SELL,017670.KS,40,33095.19921875,1323807.96875
